,0
0,{'potted plant': 54.68669533729553}
1,{'person': 69.28181648254395}
2,
3,"{'person': 50.90861916542053, 'motorcycle': 52.97698378562927}"
4,"{'person': 50.90861916542053, 'motorcycle': 52.97698378562927}"
5,{'person': 99.0648627281189}
6,{'potted plant': 66.78766012191772}
7,{'person': 70.13126015663147}
8,
9,"{'car': 66.2242591381073, 'person': 56.66741132736206}"
10,"{'car': 66.2242591381073, 'person': 56.66741132736206}"
11,{'truck': 80.44108748435974}
12,{'car': 96.89340591430664}
13,{'car': 84.97360944747925}
14,{'truck': 72.27764129638672}
15,{'person': 62.81617283821106}
16,
17,"{'person': 92.70015954971313, 'fire hydrant': 55.69740533828735}"
18,"{'person': 92.70015954971313, 'fire hydrant': 55.69740533828735}"
19,
20,{'bottle': 72.48725295066833}
21,
22,"{'person': 67.4006998538971, 'umbrella': 77.69334316253662}"
23,"{'person': 67.4006998538971, 'umbrella': 77.69334316253662}"
24,
25,{'car': 88.85605335235596}
26,"{'person': 53.35896015167236, 'bear': 54.03919219970703}"
27,"{'person': 53.35896015167236, 'bear': 54.03919219970703}"
28,{'car': 98.17836284637451}
29,{'fire hydrant': 82.5003981590271}
30,{'person': 76.8724799156189}
31,
32,{'person': 55.92799186706543}
33,
34,{'person': 76.42661333084106}
35,
36,{'person': 90.33094644546509}
37,
38,"{'person': 88.97709846496582, 'motorcycle': 91.49702191352844, 'car': 76.40495300292969, 'bench': 53.855276107788086}"
39,"{'person': 88.97709846496582, 'motorcycle': 91.49702191352844, 'car': 76.40495300292969, 'bench': 53.855276107788086}"
40,"{'person': 88.97709846496582, 'motorcycle': 91.49702191352844, 'car': 76.40495300292969, 'bench': 53.855276107788086}"
41,"{'person': 88.97709846496582, 'motorcycle': 91.49702191352844, 'car': 76.40495300292969, 'bench': 53.855276107788086}"
42,"{'handbag': 72.52036333084106, 'cat': 64.49673771858215, 'dog': 67.25600957870483, 'person': 83.15709829330444}"
43,"{'handbag': 72.52036333084106, 'cat': 64.49673771858215, 'dog': 67.25600957870483, 'person': 83.15709829330444}"
44,"{'handbag': 72.52036333084106, 'cat': 64.49673771858215, 'dog': 67.25600957870483, 'person': 83.15709829330444}"
45,"{'handbag': 72.52036333084106, 'cat': 64.49673771858215, 'dog': 67.25600957870483, 'person': 83.15709829330444}"
46,{'person': 51.174795627593994}
47,
48,{'person': 99.8445987701416}
49,
50,
51,{'car': 70.29473781585693}
52,"{'person': 78.02097797393799, 'truck': 70.1209306716919}"
53,"{'person': 78.02097797393799, 'truck': 70.1209306716919}"
54,
55,{'person': 88.58916759490967}
56,
57,
58,{'person': 57.40925669670105}
59,
60,{'person': 65.89812636375427}
61,{'person': 81.27685785293579}
62,{'potted plant': 64.92044925689697}
63,
64,{'person': 70.77182531356812}
65,
66,{'person': 98.81211519241333}
67,{'car': 97.28026390075684}
68,
69,"{'person': 98.01218509674072, 'car': 98.11823964118958}"
70,"{'person': 98.01218509674072, 'car': 98.11823964118958}"
71,"{'surfboard': 50.44045448303223, 'person': 95.73153853416443}"
72,"{'surfboard': 50.44045448303223, 'person': 95.73153853416443}"
73,{'person': 65.93757271766663}
74,
75,{'person': 53.75499725341797}
76,
77,{'person': 74.88341331481934}
78,
79,{'person': 57.77961015701294}
80,
81,{'person': 96.07899188995361}
82,{'person': 58.02372694015503}
83,{'car': 62.147629261016846}
84,{'person': 71.84953689575195}
85,{'person': 71.10745906829834}
86,
87,{'person': 86.59143447875977}
88,
89,{'person': 83.51483345031738}
90,
91,{'truck': 78.42740416526794}
92,{'bottle': 59.76335406303406}
93,{'person': 82.5552761554718}
94,
95,{'person': 68.64726543426514}
96,
97,"{'car': 54.75243330001831, 'truck': 76.50911808013916}"
98,"{'car': 54.75243330001831, 'truck': 76.50911808013916}"
99,
100,"{'person': 77.27864980697632, 'bench': 68.48592758178711, 'chair': 67.36121773719788, 'car': 93.1367039680481}"
101,"{'person': 77.27864980697632, 'bench': 68.48592758178711, 'chair': 67.36121773719788, 'car': 93.1367039680481}"
102,"{'person': 77.27864980697632, 'bench': 68.48592758178711, 'chair': 67.36121773719788, 'car': 93.1367039680481}"
103,"{'person': 77.27864980697632, 'bench': 68.48592758178711, 'chair': 67.36121773719788, 'car': 93.1367039680481}"
104,{'person': 77.70537734031677}
105,"{'car': 93.57922673225403, 'person': 97.03165888786316, 'potted plant': 68.27076077461243}"
106,"{'car': 93.57922673225403, 'person': 97.03165888786316, 'potted plant': 68.27076077461243}"
107,"{'car': 93.57922673225403, 'person': 97.03165888786316, 'potted plant': 68.27076077461243}"
108,{'person': 96.4717447757721}
109,
110,{'person': 84.2483401298523}
111,{'person': 93.68377327919006}
112,{'person': 73.00286889076233}
113,
114,"{'chair': 80.70343732833862, 'person': 54.613351821899414}"
115,"{'chair': 80.70343732833862, 'person': 54.613351821899414}"
116,{'person': 71.78725004196167}
117,
118,{'person': 84.85573530197144}
119,{'person': 96.69528007507324}
120,
121,
122,{'car': 88.85766267776489}
123,{'person': 71.95998430252075}
124,
125,{'person': 98.35028648376465}
126,{'person': 98.61037135124207}
127,"{'person': 63.048285245895386, 'chair': 63.666653633117676}"
128,"{'person': 63.048285245895386, 'chair': 63.666653633117676}"
129,{'bottle': 52.82938480377197}
130,{'person': 98.21547269821167}
131,{'person': 85.51923036575317}
132,{'car': 88.82826566696167}
133,{'car': 63.87510895729065}
134,{'person': 57.5232207775116}
135,
136,{'person': 96.91534042358398}
137,{'person': 81.50287866592407}
138,{'train': 56.28546476364136}
139,{'person': 61.37192249298096}
140,{'person': 64.06189203262329}
141,
142,{'car': 68.15866231918335}
143,
144,{'person': 88.0072832107544}
145,
146,{'dog': 53.643953800201416}
147,{'person': 77.97892093658447}
148,
149,{'person': 95.10929584503174}
150,
151,"{'car': 92.65506267547607, 'person': 69.70247626304626, 'dog': 64.73168730735779}"
152,"{'car': 92.65506267547607, 'person': 69.70247626304626, 'dog': 64.73168730735779}"
153,"{'car': 92.65506267547607, 'person': 69.70247626304626, 'dog': 64.73168730735779}"
154,
155,{'person': 74.63798522949219}
156,
157,{'car': 58.20106267929077}
158,
159,{'person': 64.77998495101929}
160,
161,{'truck': 98.95133972167969}
162,{'parking meter': 64.96626138687134}
163,
164,"{'bird': 63.378024101257324, 'person': 87.65630722045898}"
165,"{'bird': 63.378024101257324, 'person': 87.65630722045898}"
166,{'car': 89.67775106430054}
167,
168,{'person': 77.83751487731934}
169,{'person': 99.347984790802}
170,"{'bowl': 61.84000372886658, 'dining table': 77.36002206802368, 'person': 76.73913240432739, 'chair': 80.64799308776855}"
171,"{'bowl': 61.84000372886658, 'dining table': 77.36002206802368, 'person': 76.73913240432739, 'chair': 80.64799308776855}"
172,"{'bowl': 61.84000372886658, 'dining table': 77.36002206802368, 'person': 76.73913240432739, 'chair': 80.64799308776855}"
173,"{'bowl': 61.84000372886658, 'dining table': 77.36002206802368, 'person': 76.73913240432739, 'chair': 80.64799308776855}"
174,"{'car': 54.953163862228394, 'person': 79.42918539047241}"
175,"{'car': 54.953163862228394, 'person': 79.42918539047241}"
176,
177,{'person': 59.81106758117676}
178,
179,{'person': 81.70688152313232}
180,
181,
182,{'person': 92.80972480773926}
183,
184,"{'bottle': 66.2962257862091, 'bowl': 62.66224384307861, 'person': 81.44940137863159}"
185,"{'bottle': 66.2962257862091, 'bowl': 62.66224384307861, 'person': 81.44940137863159}"
186,"{'bottle': 66.2962257862091, 'bowl': 62.66224384307861, 'person': 81.44940137863159}"
187,{'person': 75.56541562080383}
188,{'car': 93.54945421218872}
189,{'car': 93.83560419082642}
190,
191,
192,{'person': 61.5659236907959}
193,
194,{'person': 90.33701419830322}
195,{'car': 91.90976619720459}
196,{'person': 57.067084312438965}
197,{'bowl': 78.8858413696289}
198,{'person': 77.45159864425659}
199,{'bird': 73.15949201583862}
200,"{'person': 52.832841873168945, 'car': 76.43303871154785}"
201,"{'person': 52.832841873168945, 'car': 76.43303871154785}"
202,
203,{'car': 64.58672285079956}
204,
205,"{'person': 58.895790576934814, 'chair': 71.51820063591003}"
206,"{'person': 58.895790576934814, 'chair': 71.51820063591003}"
207,
208,{'person': 97.31115102767944}
209,{'person': 75.19327998161316}
210,
211,
212,"{'car': 89.0310525894165, 'bench': 56.96185231208801}"
213,"{'car': 89.0310525894165, 'bench': 56.96185231208801}"
214,{'person': 60.25767922401428}
215,
216,"{'person': 81.7747950553894, 'car': 98.4331727027893}"
217,"{'person': 81.7747950553894, 'car': 98.4331727027893}"
218,"{'bench': 98.90556335449219, 'truck': 57.98956751823425}"
