,rgb_mean_cv,rgb_std_cv,best parameters,objects_mean_cv,objects_std_cv,both_mean_cv,both_std_cv,baseline
total_deprivations_2,0.21928770650075094,0.013710100347008028,"{'Best leaf_size:': 1, 'Best p:': 2, 'Best n_neighbors:': 1}",0.22355717657155116,0.02964752229652863,0.21928770650075094,0.013710100347008028,0.2252328535139712
Poor_MPI,0.5359615247085746,0.02234845626805584,"{'Best leaf_size:': 1, 'Best p:': 2, 'Best n_neighbors:': 19}",0.5427626403489952,0.025511809756652362,0.5359615247085746,0.02234845626805584,0.5639288738357324
Severely_Poor_MPI,0.8975470213831083,0.0015161267253093415,"{'Best leaf_size:': 1, 'Best p:': 1, 'Best n_neighbors:': 9}",0.8975470213831083,0.0015161267253093415,0.8975470213831083,0.0015161267253093415,0.8975444538526672
