,r0,r1,r2,r3,g0,g1,g2,g3,b0,b1,b2,b3,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
1003,186715,338694,245546,150645,196863,405737,200589,118411,452774,422687,264968,88371,0.0,0.44599998,-3.2325373,5,Poor,Non_Severely_Poor,0,0,0,0,0
1004,10184,87009,511453,82554,23949,197368,425848,44035,149074,634916,95957,41653,20000.0,0.27899998,-0.68557137,2,Non_Poor,Non_Severely_Poor,0,1,0,0,1
1005,8367,23840,422200,236793,29544,180639,480818,199,33641,531774,356059,126,0.0,0.0,2.2912695,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1006,73229,135989,492679,219703,104133,272384,392522,152561,322195,441906,319461,145238,162000.0,0.38999999,4.0407114,4,Poor,Non_Severely_Poor,0,2,0,0,3
1007,63711,283356,364170,210363,141295,291690,368344,120271,292068,499898,294484,142350,0.0,0.44599998,-1.1564279,5,Poor,Non_Severely_Poor,0,0,0,0,3
1008,136537,315525,120474,118664,139567,326818,105174,119641,206346,442364,112349,160541,228000.0,0.33399999,0.65174216,3,Poor,Non_Severely_Poor,1,0,0,0,6
1009,124219,197408,265501,104072,135851,184463,276575,94311,207605,267451,354505,92039,0.0,0.44599998,0.010271849,5,Poor,Non_Severely_Poor,0,0,0,0,2
1010,102719,238151,353211,227519,212277,235726,326701,146896,395539,379498,369309,84454,155000.0,0.38999999,3.0860937,4,Poor,Non_Severely_Poor,0,2,3,0,1
1011,18110,185092,559948,158450,44101,377150,367572,132777,190915,612639,244376,180870,139000.0,0.33399999,-0.19364192,3,Poor,Non_Severely_Poor,0,0,0,0,18
1012,81700,109547,378688,121265,102190,177654,332150,79206,192981,371406,312041,45172,480000.0,0.16699999999999998,3.9429746,1,Non_Poor,Non_Severely_Poor,0,1,1,0,19
1013,29607,196841,434124,261028,47854,299027,457505,117214,300868,587458,201667,138807,0.0,0.72499996,-3.4514153,5,Poor,Poor,0,0,0,0,1
1014,36138,185486,328594,140982,61503,223700,307153,98844,127046,462032,238117,94405,33000.0,0.33500001,-0.31937939,4,Poor,Non_Severely_Poor,0,0,0,0,4
1015,81341,184327,323075,332857,107664,242968,374513,196455,260134,331478,556474,80714,73000.0,0.27899998,-0.91433841,2,Non_Poor,Non_Severely_Poor,0,0,0,1,2
1016,81741,168107,606203,65549,86726,194347,569363,71164,140118,478643,514476,95563,30000.0,0.22299999,2.9909594,2,Non_Poor,Non_Severely_Poor,0,0,0,2,4
1017,302106,133557,263539,222398,202554,315068,178391,225587,307781,479356,216638,225025,435000.0,0.33399999,3.6864231,3,Poor,Non_Severely_Poor,0,1,1,0,1
1018,94486,362516,227067,237531,148066,358134,183424,231976,478618,293424,257941,198817,307000.0,0.44599998,-0.16459304,5,Poor,Non_Severely_Poor,0,0,0,0,5
1019,40215,194882,425889,260614,64570,258041,469538,129451,205166,524597,390720,108317,459285.72,0.38999999,1.4949563999999995,4,Poor,Non_Severely_Poor,0,0,9,0,7
1020,56271,133438,367082,364809,92016,288964,435325,105295,323125,632945,196361,76369,10000.0,0.55699998,-1.6636565,5,Poor,Poor,0,0,1,0,4
1021,62675,156512,327867,144146,80088,127120,437958,46034,122075,462216,289245,48064,25000.0,0.27899998,-2.219276,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
1022,64865,168773,452407,235555,85929,207959,405052,222660,185093,495420,290138,258149,45000.0,0.16699999999999998,-0.14684202,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
1023,143063,227164,410205,141168,144470,289205,405830,82095,261687,426459,453344,87310,,0.38999999,-1.1688104,4,Poor,Non_Severely_Poor,0,2,0,0,4
1024,13566,208568,575717,123749,22171,264112,512904,122413,50850,540241,509281,128428,60000.0,0.16699999999999998,-0.60764772,1,Non_Poor,Non_Severely_Poor,0,0,0,0,3
1025,30864,161562,355197,143577,60235,212813,355092,63060,122986,430895,326837,40882,55000.0,0.38999999,-0.10071147,4,Poor,Non_Severely_Poor,0,0,1,0,16
1026,99272,187488,350275,284565,174586,140865,501344,104805,315077,527820,228731,157172,160000.0,0.22299999,2.6117878,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
1027,125459,432085,294144,69912,116530,461548,273351,70171,244722,557918,256226,169934,30000.0,0.391,-4.0375223,5,Poor,Non_Severely_Poor,0,0,0,0,1
1028,121671,216127,370066,213736,141532,252199,397295,130574,285273,388309,448624,106594,130000.0,0.22299999,-0.56908643,2,Non_Poor,Non_Severely_Poor,0,0,0,7,0
1029,37960,173128,412350,67762,40219,199978,383406,67597,73526,309205,468477,70392,122000.0,0.38999999,1.8051567,4,Poor,Non_Severely_Poor,0,0,0,0,1
1030,246598,208043,108338,128221,252517,218177,96793,123713,369253,300395,98063,153889,30000.0,0.22299999,-0.81657624,2,Non_Poor,Non_Severely_Poor,0,0,1,0,13
1031,17088,165352,506691,232469,111793,242239,477202,90366,278356,723239,141899,85306,90000.0,0.50099999,2.7391317,5,Poor,Poor,0,2,1,0,0
