,,municipality,commune,pic_1,panoramaid1,pic_2_1,panoramaid2,pic_2_2,panoramaid3,pic_2_3,panoramaid4,pic_2_4,panoramaid5,pic_2_5,pic_2_2_detections,pic_1_detections,pic_2_1_detections,pic_2_3_detections,pic_2_4_detections,pic_2_5_detections
uuid:020d2f1c-2130-440b-b318-57eb2b018824,Jan 25,Cacuaco,Kikolo,1548429625456.jpg,Left,1548429748008.jpg,Left-front,1548429763235.jpg,Front,1548429823915.jpg,Front-right,1548429839099.jpg,Right,1548429856724.jpg,[],"[{'name': 'person', 'percentage_probability': 70.73749899864197, 'box_points': [18, 272, 52, 378]}, {'name': 'person', 'percentage_probability': 74.96957182884216, 'box_points': [43, 266, 80, 388]}, {'name': 'person', 'percentage_probability': 88.94399404525757, 'box_points': [117, 270, 154, 393]}]","[{'name': 'person', 'percentage_probability': 59.32259559631348, 'box_points': [114, 147, 131, 177]}, {'name': 'person', 'percentage_probability': 56.60367012023926, 'box_points': [442, 146, 455, 187]}, {'name': 'person', 'percentage_probability': 68.80906820297241, 'box_points': [180, 131, 199, 195]}, {'name': 'person', 'percentage_probability': 74.50571060180664, 'box_points': [155, 129, 179, 198]}, {'name': 'person', 'percentage_probability': 53.45085859298706, 'box_points': [204, 136, 222, 198]}, {'name': 'person', 'percentage_probability': 88.4871244430542, 'box_points': [315, 157, 351, 277]}, {'name': 'person', 'percentage_probability': 77.48738527297974, 'box_points': [343, 150, 379, 276]}, {'name': 'person', 'percentage_probability': 75.01240968704224, 'box_points': [372, 153, 411, 278]}, {'name': 'person', 'percentage_probability': 57.08585977554321, 'box_points': [384, 152, 426, 279]}, {'name': 'person', 'percentage_probability': 71.21460437774658, 'box_points': [401, 149, 436, 281]}, {'name': 'person', 'percentage_probability': 52.6340126991272, 'box_points': [357, 152, 394, 279]}, {'name': 'person', 'percentage_probability': 97.90154695510864, 'box_points': [462, 170, 525, 358]}, {'name': 'person', 'percentage_probability': 96.21633291244507, 'box_points': [519, 174, 579, 345]}]",[],"[{'name': 'person', 'percentage_probability': 79.43285703659058, 'box_points': [490, 178, 570, 364]}, {'name': 'person', 'percentage_probability': 50.642311573028564, 'box_points': [331, 215, 385, 353]}]","[{'name': 'person', 'percentage_probability': 61.239951848983765, 'box_points': [54, 184, 91, 253]}, {'name': 'person', 'percentage_probability': 74.8319685459137, 'box_points': [6, 216, 41, 251]}, {'name': 'person', 'percentage_probability': 88.6045515537262, 'box_points': [156, 190, 191, 285]}, {'name': 'person', 'percentage_probability': 90.7055139541626, 'box_points': [122, 225, 162, 324]}]"
uuid:033565d7-311a-4236-be20-a75edb2c556e,Feb 21,Viana,Viana Sede,1550747479097.jpg,Left,1550747488695.jpg,Left-front,1550747496044.jpg,Front,1550747503736.jpg,Front-right,1550747513523.jpg,Right,1550747520803.jpg,[],[],[],[],[],"[{'name': 'person', 'percentage_probability': 57.83872604370117, 'box_points': [234, 197, 247, 221]}, {'name': 'person', 'percentage_probability': 77.2018551826477, 'box_points': [242, 204, 255, 235]}, {'name': 'potted plant', 'percentage_probability': 66.42959713935852, 'box_points': [116, 171, 169, 229]}, {'name': 'person', 'percentage_probability': 89.698326587677, 'box_points': [0, 184, 24, 267]}]"
uuid:0346bf4d-aa86-47b4-9861-df2a00c98fd1,Feb 14,Samba,Futungo de Belas,1550149348034.jpg,Left,1550149478873.jpg,Left-front,1550149504052.jpg,Front,1550149523275.jpg,Front-right,1550149549908.jpg,Right,1550149563711.jpg,"[{'name': 'car', 'percentage_probability': 66.2242591381073, 'box_points': [0, 168, 16, 191]}, {'name': 'person', 'percentage_probability': 56.66741132736206, 'box_points': [16, 161, 34, 207]}]",[],"[{'name': 'car', 'percentage_probability': 52.27588415145874, 'box_points': [330, 200, 352, 222]}, {'name': 'car', 'percentage_probability': 64.50762152671814, 'box_points': [573, 217, 608, 241]}, {'name': 'car', 'percentage_probability': 75.91292262077332, 'box_points': [430, 209, 489, 230]}, {'name': 'car', 'percentage_probability': 71.03835940361023, 'box_points': [582, 214, 625, 242]}, {'name': 'car', 'percentage_probability': 75.03576278686523, 'box_points': [597, 213, 638, 243]}, {'name': 'person', 'percentage_probability': 95.24590969085693, 'box_points': [369, 203, 395, 280]}, {'name': 'car', 'percentage_probability': 77.76762247085571, 'box_points': [486, 209, 596, 256]}, {'name': 'person', 'percentage_probability': 84.13142561912537, 'box_points': [292, 165, 340, 340]}]",[],[],[]
uuid:03ea65a1-eba8-49e2-b7a0-3b6321a040f5,Feb 13,Viana,Viana Sede,1550062001157.jpg,Left,1550062011395.jpg,Left-front,1550062019602.jpg,Front,1550062028229.jpg,Front-right,1550062038914.jpg,Right,1550062053075.jpg,"[{'name': 'truck', 'percentage_probability': 80.44108748435974, 'box_points': [183, 209, 314, 266]}]",[],[],[],[],"[{'name': 'person', 'percentage_probability': 86.65533661842346, 'box_points': [421, 54, 437, 103]}, {'name': 'car', 'percentage_probability': 75.51565170288086, 'box_points': [339, 71, 395, 95]}, {'name': 'truck', 'percentage_probability': 89.79562520980835, 'box_points': [0, 50, 134, 108]}, {'name': 'bench', 'percentage_probability': 90.10214805603027, 'box_points': [111, 176, 478, 468]}]"
uuid:04e0f2f6-6cdb-42a3-9528-a30c3340d71d,Jan 27,Cazenga,Hoji Ya Henda,1548606522708.jpg,Left,1548606568666.jpg,Left-front,1548606581079.jpg,Front,1548606593322.jpg,Front-right,1548606605318.jpg,Right,1548606624727.jpg,[],[],"[{'name': 'car', 'percentage_probability': 86.48535013198853, 'box_points': [265, 162, 299, 190]}, {'name': 'car', 'percentage_probability': 72.26930260658264, 'box_points': [295, 162, 339, 200]}, {'name': 'car', 'percentage_probability': 77.17611789703369, 'box_points': [314, 167, 387, 217]}, {'name': 'person', 'percentage_probability': 92.51934885978699, 'box_points': [378, 159, 404, 226]}, {'name': 'person', 'percentage_probability': 97.93350100517273, 'box_points': [205, 168, 239, 248]}]",[],[],"[{'name': 'backpack', 'percentage_probability': 61.7891788482666, 'box_points': [551, 205, 596, 264]}, {'name': 'person', 'percentage_probability': 85.83984971046448, 'box_points': [580, 147, 634, 306]}, {'name': 'person', 'percentage_probability': 90.15766382217407, 'box_points': [445, 168, 516, 337]}, {'name': 'person', 'percentage_probability': 50.3814160823822, 'box_points': [500, 168, 550, 303]}, {'name': 'person', 'percentage_probability': 56.08428716659546, 'box_points': [543, 197, 598, 331]}]"
uuid:05031fe5-8a19-4c80-8601-6768abcf7f72,Feb 1,Viana,Viana Sede,1549014920335.jpg,Left,1549014936329.jpg,Left-front,1549014944746.jpg,Front,1549014958779.jpg,Front-right,1549014968590.jpg,Right,1549014979949.jpg,[],[],"[{'name': 'cow', 'percentage_probability': 51.75561308860779, 'box_points': [211, 176, 230, 193]}, {'name': 'person', 'percentage_probability': 95.35014033317566, 'box_points': [307, 171, 332, 226]}]",[],[],"[{'name': 'person', 'percentage_probability': 95.22875547409058, 'box_points': [341, 125, 432, 421]}]"
uuid:050c84e0-ac61-4cd7-a5c9-0177813e1408,Feb 11,Viana,Viana Sede,1549892159764.jpg,Left,1549892169484.jpg,Left-front,1549892177232.jpg,Front,1549892183792.jpg,Front-right,1549892190670.jpg,Right,1549892199660.jpg,"[{'name': 'car', 'percentage_probability': 96.89340591430664, 'box_points': [436, 140, 635, 255]}]",[],"[{'name': 'car', 'percentage_probability': 80.1203966140747, 'box_points': [240, 142, 264, 164]}]","[{'name': 'car', 'percentage_probability': 91.89896583557129, 'box_points': [508, 118, 575, 155]}, {'name': 'car', 'percentage_probability': 93.2174801826477, 'box_points': [292, 108, 422, 222]}, {'name': 'car', 'percentage_probability': 90.82424640655518, 'box_points': [0, 134, 158, 251]}, {'name': 'car', 'percentage_probability': 64.76660966873169, 'box_points': [31, 120, 220, 210]}]","[{'name': 'car', 'percentage_probability': 84.5177173614502, 'box_points': [0, 125, 43, 164]}]",[]
uuid:05148a14-cee4-4ed6-ac47-27e2d8e99354,Jan 27,Cazenga,Hoji Ya Henda,1548605237196.jpg,Left,1548605371524.jpg,Left-front,1548605406699.jpg,Front,1548605435338.jpg,Front-right,1548605469664.jpg,Right,1548605504505.jpg,"[{'name': 'car', 'percentage_probability': 84.97360944747925, 'box_points': [1, 145, 82, 308]}]",[],"[{'name': 'car', 'percentage_probability': 93.40174198150635, 'box_points': [0, 114, 170, 329]}]",[],[],"[{'name': 'person', 'percentage_probability': 69.38576698303223, 'box_points': [479, 193, 490, 225]}, {'name': 'person', 'percentage_probability': 50.67557692527771, 'box_points': [500, 195, 509, 226]}]"
uuid:05b34840-7531-4bc1-a9e6-cd018d5757b7,Feb 6,Viana,Viana Sede,1549452206280.jpg,Left,1549452216994.jpg,Left-front,1549452226308.jpg,Front,1549452233968.jpg,Front-right,1549452249845.jpg,Right,1549452263127.jpg,"[{'name': 'truck', 'percentage_probability': 72.27764129638672, 'box_points': [40, 149, 92, 199]}]",[],"[{'name': 'truck', 'percentage_probability': 71.28366827964783, 'box_points': [364, 217, 414, 265]}]","[{'name': 'potted plant', 'percentage_probability': 57.386744022369385, 'box_points': [551, 326, 633, 401]}]","[{'name': 'potted plant', 'percentage_probability': 51.495033502578735, 'box_points': [185, 69, 545, 380]}]",[]
uuid:05df3823-60ea-4716-9e50-d56983538607,Feb 13,Samba,Futungo de Belas,1550054971060.jpg,Left,1550054980878.jpg,Left-front,1550054987836.jpg,Front,1550054994594.jpg,Front-right,1550055001403.jpg,Right,1550055017354.jpg,"[{'name': 'person', 'percentage_probability': 62.81617283821106, 'box_points': [320, 37, 331, 69]}, {'name': 'person', 'percentage_probability': 58.3864688873291, 'box_points': [424, 52, 438, 81]}, {'name': 'person', 'percentage_probability': 64.73935842514038, 'box_points': [415, 55, 427, 86]}]",[],[],[],[],[]
