,,municipality,commune,pic_1,panoramaid1,pic_2_1,panoramaid2,pic_2_2,panoramaid3,pic_2_3,panoramaid4,pic_2_4,panoramaid5,pic_2_5,pic_2_2_detections,pic_1_detections,pic_2_1_detections,pic_2_3_detections,pic_2_4_detections,pic_2_5_detections
uuid:34ca2c3b-9f9e-4f9a-896c-8674ce4b1e21,Feb 2,Viana,Viana Sede,1549119345076.jpg,Left,1549119368666.jpg,Left-front,1549119401426.jpg,Front,1549119410177.jpg,Front-right,1549119427146.jpg,Right,1549119440977.jpg,[],[],[],[],[],[]
uuid:34e1b379-6b0a-4ca3-94a4-7715cdd1f806,Feb 12,Viana,Viana Sede,1549959977216.jpg,Left,1549959995252.jpg,Left-front,1549960010123.jpg,Front,1549960031499.jpg,Front-right,1549960054370.jpg,Right,1549960084829.jpg,"[{'name': 'person', 'percentage_probability': 64.77998495101929, 'box_points': [17, 182, 28, 215]}, {'name': 'person', 'percentage_probability': 84.48454737663269, 'box_points': [187, 191, 216, 231]}, {'name': 'person', 'percentage_probability': 77.58725881576538, 'box_points': [242, 185, 268, 234]}]",[],"[{'name': 'person', 'percentage_probability': 51.152145862579346, 'box_points': [595, 129, 608, 168]}, {'name': 'person', 'percentage_probability': 59.35385227203369, 'box_points': [607, 134, 621, 172]}, {'name': 'person', 'percentage_probability': 58.45031142234802, 'box_points': [566, 138, 579, 173]}, {'name': 'person', 'percentage_probability': 95.50772905349731, 'box_points': [479, 121, 505, 201]}]",[],[],"[{'name': 'person', 'percentage_probability': 93.01605820655823, 'box_points': [433, 182, 459, 250]}]"
uuid:353d2fe1-ffe9-4c20-983a-66cc673fe17b,Feb 9,Viana,Viana Sede,1549713938281.jpg,Left,1549713962578.jpg,Left-front,1549713976711.jpg,Front,1549713988798.jpg,Front-right,1549713999318.jpg,Right,1549714015033.jpg,[],[],[],[],[],"[{'name': 'person', 'percentage_probability': 79.1663110256195, 'box_points': [193, 246, 214, 310]}, {'name': 'person', 'percentage_probability': 79.52929735183716, 'box_points': [208, 244, 236, 311]}]"
uuid:354bede1-953f-47b9-b252-55ae97b411d8,Feb 15,Maianga,Prenda,1550240226097.jpg,Left,1550240238306.jpg,Left-front,1550240261495.jpg,Front,1550240275290.jpg,Front-right,1550240285100.jpg,Right,1550240297132.jpg,[],[],[],[],[],[]
uuid:35c0a9a7-e7ad-4358-8cdc-d486da8a4446,Feb 6,Viana,Viana Sede,1549447394656.jpg,Left,1549447407657.jpg,Left-front,1549447420393.jpg,Front,1549447431807.jpg,Front-right,1549447441560.jpg,Right,1549447454299.jpg,[],"[{'name': 'potted plant', 'percentage_probability': 88.55913281440735, 'box_points': [135, 351, 198, 435]}, {'name': 'person', 'percentage_probability': 93.55878829956055, 'box_points': [230, 259, 305, 419]}, {'name': 'chair', 'percentage_probability': 73.57299327850342, 'box_points': [285, 323, 346, 448]}]","[{'name': 'person', 'percentage_probability': 74.62770938873291, 'box_points': [295, 198, 305, 230]}, {'name': 'person', 'percentage_probability': 58.76774787902832, 'box_points': [261, 203, 274, 233]}]",[],[],"[{'name': 'kite', 'percentage_probability': 59.411126375198364, 'box_points': [368, 155, 417, 172]}]"
uuid:35ebc0ae-10f7-4af9-926f-9335c69b7eb4,Jan 28,Cacuaco,Cacuaco,1548685130308.jpg,Left,1548685150667.jpg,Left-front,1548685164782.jpg,Front,1548685178415.jpg,Front-right,1548685191302.jpg,Right,1548685207744.jpg,"[{'name': 'truck', 'percentage_probability': 98.95133972167969, 'box_points': [276, 10, 639, 217]}]",[],[],[],[],[]
uuid:3628f303-8481-487d-9daa-493486ae5073,Feb 15,Maianga,Prenda,1550236375086.jpg,Left,1550236430469.jpg,Left-front,1550236440361.jpg,Front,1550236451053.jpg,Front-right,1550236461203.jpg,Right,1550236472228.jpg,"[{'name': 'parking meter', 'percentage_probability': 64.96626138687134, 'box_points': [0, -3, 200, 346]}]",[],[],[],"[{'name': 'book', 'percentage_probability': 57.482463121414185, 'box_points': [500, 66, 735, 152]}]",[]
uuid:364bec41-9fda-46be-affa-54722af9c9fc,Feb 4,Kilamba Kiaxi,Kilamba Kiaxi,1549282248806.jpg,Left,1549282265125.jpg,Left-front,1549282273080.jpg,Front,1549282280292.jpg,Front-right,1549282287518.jpg,Right,1549282297338.jpg,[],[],[],[],[],"[{'name': 'person', 'percentage_probability': 99.37025308609009, 'box_points': [417, 160, 496, 341]}, {'name': 'person', 'percentage_probability': 99.35563206672668, 'box_points': [364, 186, 413, 342]}]"
uuid:36a34bef-bcd4-4bf1-b78d-5d94ea537486,Jan 27,Sambizanga,N'gola Kilwanji,1548584915689.jpg,Left,1548584935847.jpg,Left-front,1548584947370.jpg,Front,1548584962676.jpg,Front-right,1548584973145.jpg,Right,1548584981986.jpg,"[{'name': 'person', 'percentage_probability': 98.91793727874756, 'box_points': [1, 359, 138, 476]}]","[{'name': 'person', 'percentage_probability': 97.08446264266968, 'box_points': [350, 313, 425, 554]}]","[{'name': 'person', 'percentage_probability': 96.14982008934021, 'box_points': [69, 377, 216, 478]}]",[],[],"[{'name': 'bench', 'percentage_probability': 50.38750767707825, 'box_points': [387, 269, 629, 465]}]"
uuid:36e01c55-e04f-4ace-a961-ac6ddae822f7,Jan 29,Sambizanga,Sambizanga,1548776111335.jpg,Left,1548776121037.jpg,Left-front,1548776139151.jpg,Front,1548776150382.jpg,Front-right,1548776161435.jpg,Right,1548776169457.jpg,"[{'name': 'bird', 'percentage_probability': 63.378024101257324, 'box_points': [225, 97, 248, 122]}, {'name': 'person', 'percentage_probability': 87.65630722045898, 'box_points': [143, 206, 181, 307]}]",[],"[{'name': 'car', 'percentage_probability': 51.179057359695435, 'box_points': [292, 217, 325, 236]}, {'name': 'person', 'percentage_probability': 55.016958713531494, 'box_points': [397, 234, 406, 263]}, {'name': 'person', 'percentage_probability': 59.53618288040161, 'box_points': [405, 233, 415, 262]}, {'name': 'person', 'percentage_probability': 79.48898077011108, 'box_points': [323, 207, 344, 265]}, {'name': 'fire hydrant', 'percentage_probability': 82.43658542633057, 'box_points': [524, 235, 545, 305]}, {'name': 'truck', 'percentage_probability': 78.83769273757935, 'box_points': [1, 187, 306, 434]}]",[],[],[]
uuid:370c1b4f-0f07-4fa1-9f84-1ea3e94f8ec0,Feb 6,Viana,Viana Sede,1549442951625.jpg,Left,1549442978132.jpg,Left-front,1549442990910.jpg,Front,1549443004317.jpg,Front-right,1549443017989.jpg,Right,1549443026528.jpg,"[{'name': 'car', 'percentage_probability': 89.67775106430054, 'box_points': [400, 125, 457, 167]}, {'name': 'car', 'percentage_probability': 97.68178462982178, 'box_points': [549, 82, 639, 287]}]",[],[],[],[],"[{'name': 'car', 'percentage_probability': 58.50174427032471, 'box_points': [256, 140, 278, 158]}, {'name': 'car', 'percentage_probability': 72.82484173774719, 'box_points': [289, 137, 315, 158]}, {'name': 'car', 'percentage_probability': 84.49337482452393, 'box_points': [216, 145, 247, 166]}]"
uuid:373741a0-e0c4-4853-a1a8-22c6a26bf38d,Feb 5,Kilamba Kiaxi,Kilamba Kiaxi,1549367045954.jpg,Left,1549367058251.jpg,Left-front,1549367068188.jpg,Front,1549367077776.jpg,Front-right,1549367088901.jpg,Right,1549367097508.jpg,[],[],[],[],[],[]
uuid:37734750-b8ab-41e1-92d3-21f641fab01d,Feb 14,Samba,Futungo de Belas,1550160664260.jpg,Left,1550160739833.jpg,Left-front,1550160774802.jpg,Front,1550160800340.jpg,Front-right,1550160823252.jpg,Right,1550160834547.jpg,"[{'name': 'person', 'percentage_probability': 77.83751487731934, 'box_points': [130, 182, 158, 266]}]",[],"[{'name': 'car', 'percentage_probability': 85.21854877471924, 'box_points': [178, 145, 238, 200]}]","[{'name': 'person', 'percentage_probability': 52.39754319190979, 'box_points': [405, 202, 438, 303]}, {'name': 'person', 'percentage_probability': 97.42218255996704, 'box_points': [207, 188, 255, 319]}, {'name': 'person', 'percentage_probability': 87.91075944900513, 'box_points': [376, 177, 430, 331]}]",[],"[{'name': 'car', 'percentage_probability': 57.89253115653992, 'box_points': [309, 135, 335, 156]}]"
uuid:37c0db49-deb4-4eca-865a-b03b8c7513cc,Feb 6,Viana,Viana Sede,1549462900521.jpg,Left,1549462914122.jpg,Left-front,1549462925206.jpg,Front,1549462936306.jpg,Front-right,1549462958071.jpg,Right,1549462971408.jpg,[],"[{'name': 'bowl', 'percentage_probability': 58.42628479003906, 'box_points': [0, 492, 72, 532]}, {'name': 'person', 'percentage_probability': 74.22530055046082, 'box_points': [383, 347, 479, 634]}]",[],"[{'name': 'person', 'percentage_probability': 92.13544726371765, 'box_points': [403, 180, 439, 309]}]",[],[]
uuid:3801d146-439c-4327-a1b7-c0a22ba2121e,Feb 9,Cacuaco,Kikolo,1549712103194.jpg,Left,1549712112699.jpg,Left-front,1549712121983.jpg,Front,1549712130898.jpg,Front-right,1549712143795.jpg,Right,1549712155995.jpg,[],"[{'name': 'person', 'percentage_probability': 91.36107563972473, 'box_points': [50, 240, 100, 348]}, {'name': 'chair', 'percentage_probability': 88.95941972732544, 'box_points': [92, 280, 157, 362]}]","[{'name': 'dog', 'percentage_probability': 99.81426000595093, 'box_points': [484, 247, 598, 394]}]",[],"[{'name': 'person', 'percentage_probability': 99.6181070804596, 'box_points': [420, 274, 543, 476]}]",[]
uuid:38eaef4a-be81-4813-9d36-3dfb5c7dffd3,Feb 15,Maianga,Prenda,1550241906232.jpg,Left,1550241920161.jpg,Left-front,1550241950737.jpg,Front,1550241969525.jpg,Front-right,1550241988798.jpg,Right,1550242009760.jpg,[],[],[],[],[],[]
uuid:3907cae0-c212-496e-87fe-c6fa4c88ab69,Feb 13,Samba,Benfica,1550050786735.jpg,Left,1550050801639.jpg,Left-front,1550050812272.jpg,Front,1550050822488.jpg,Front-right,1550050833059.jpg,Right,1550050843426.jpg,[],[],"[{'name': 'car', 'percentage_probability': 55.164945125579834, 'box_points': [264, 129, 282, 145]}]",[],"[{'name': 'chair', 'percentage_probability': 63.60567808151245, 'box_points': [312, 207, 336, 242]}]","[{'name': 'truck', 'percentage_probability': 93.19266080856323, 'box_points': [161, 172, 207, 215]}]"
uuid:393d050b-d0cf-49cd-8251-88a28b2d14b6,Feb 4,Kilamba Kiaxi,Kilamba Kiaxi,1549298510389.jpg,Left,1549298518953.jpg,Left-front,1549298528044.jpg,Front,1549298536055.jpg,Front-right,1549298544565.jpg,Right,1549298559954.jpg,[],[],[],[],[],[]
uuid:39c0cf07-e036-4bc8-8d22-6d10eb24215d,Feb 15,Maianga,Prenda,1550235647141.jpg,Left,1550235689299.jpg,Left-front,1550235698518.jpg,Front,1550235713044.jpg,Front-right,1550235726233.jpg,Right,1550235737813.jpg,[],[],"[{'name': 'person', 'percentage_probability': 82.06679224967957, 'box_points': [165, 267, 246, 456]}]","[{'name': 'person', 'percentage_probability': 62.675654888153076, 'box_points': [-1, 270, 160, 477]}]",[],"[{'name': 'car', 'percentage_probability': 58.785808086395264, 'box_points': [345, 198, 374, 226]}, {'name': 'person', 'percentage_probability': 72.30913639068604, 'box_points': [379, 199, 396, 244]}, {'name': 'person', 'percentage_probability': 67.8426206111908, 'box_points': [440, 194, 455, 241]}, {'name': 'person', 'percentage_probability': 90.28223752975464, 'box_points': [414, 199, 434, 257]}]"
uuid:3a595891-b483-488d-a82b-eb06e2495cdd,Jan 31,Kilamba Kiaxi,Kilamba Kiaxi,1548925852654.jpg,Left,1548925875806.jpg,Left-front,1548925885150.jpg,Front,1548925898355.jpg,Front-right,1548925920851.jpg,Right,1548925930493.jpg,"[{'name': 'person', 'percentage_probability': 99.347984790802, 'box_points': [244, 135, 282, 243]}]",[],"[{'name': 'person', 'percentage_probability': 64.85586166381836, 'box_points': [380, 80, 392, 116]}]","[{'name': 'person', 'percentage_probability': 99.47507381439209, 'box_points': [123, 152, 197, 296]}]","[{'name': 'person', 'percentage_probability': 81.22174739837646, 'box_points': [610, 78, 629, 118]}]","[{'name': 'person', 'percentage_probability': 50.03172159194946, 'box_points': [165, 89, 173, 110]}, {'name': 'backpack', 'percentage_probability': 77.1163821220398, 'box_points': [97, 117, 140, 195]}, {'name': 'person', 'percentage_probability': 98.2435941696167, 'box_points': [219, 79, 278, 270]}, {'name': 'person', 'percentage_probability': 95.97705602645874, 'box_points': [104, 71, 175, 296]}]"
uuid:3a6d90a0-1ae4-4b46-a4e2-7cd2d6b5ae25,Jan 28,Cazenga,Hoji Ya Henda,1548696044913.jpg,Left,1548696059415.jpg,Left-front,1548696072632.jpg,Front,1548696081055.jpg,Front-right,1548696090763.jpg,Right,1548696100179.jpg,"[{'name': 'bowl', 'percentage_probability': 61.84000372886658, 'box_points': [284, 394, 399, 477]}, {'name': 'dining table', 'percentage_probability': 77.36002206802368, 'box_points': [4, 239, 180, 438]}, {'name': 'person', 'percentage_probability': 76.73913240432739, 'box_points': [135, 227, 304, 416]}, {'name': 'chair', 'percentage_probability': 80.64799308776855, 'box_points': [116, 276, 235, 456]}]",[],"[{'name': 'dining table', 'percentage_probability': 69.20374035835266, 'box_points': [521, 237, 641, 419]}]",[],[],[]
uuid:3a7ef614-298c-499b-a56f-9a545e7a99fb,Feb 1,Maianga,Prenda,1549028035955.jpg,Left,1549028050180.jpg,Left-front,1549028060332.jpg,Front,1549028070727.jpg,Front-right,1549028081725.jpg,Right,1549028092135.jpg,[],[],"[{'name': 'person', 'percentage_probability': 76.93878412246704, 'box_points': [623, 195, 639, 238]}]",[],"[{'name': 'person', 'percentage_probability': 94.49647665023804, 'box_points': [457, 230, 637, 478]}]","[{'name': 'potted plant', 'percentage_probability': 72.75182604789734, 'box_points': [213, 237, 256, 291]}, {'name': 'potted plant', 'percentage_probability': 71.57252430915833, 'box_points': [185, 243, 219, 299]}, {'name': 'potted plant', 'percentage_probability': 59.84847545623779, 'box_points': [1, 116, 90, 332]}]"
uuid:3afb3c71-80bb-452d-aa79-d152ff3c4a38,Jan 27,Cacuaco,Cacuaco,1548589158882.jpg,Left,1548589175418.jpg,Left-front,1548589190513.jpg,Front,1548589203739.jpg,Front-right,1548589220697.jpg,Right,1548589232924.jpg,[],[],"[{'name': 'person', 'percentage_probability': 73.6494779586792, 'box_points': [339, 212, 352, 246]}]",[],[],"[{'name': 'person', 'percentage_probability': 70.86554169654846, 'box_points': [327, 201, 337, 232]}]"
uuid:3b4fec9b-afc9-4e52-8137-c97e955321c0,Jan 28,Cacuaco,Kikolo,1548686066324.jpg,Left,1548686095656.jpg,Left-front,1548686114205.jpg,Front,1548686132617.jpg,Front-right,1548686149721.jpg,Right,1548686171515.jpg,[],"[{'name': 'person', 'percentage_probability': 79.4977068901062, 'box_points': [0, 336, 45, 463]}, {'name': 'chair', 'percentage_probability': 71.86514735221863, 'box_points': [107, 349, 239, 569]}]",[],[],[],"[{'name': 'person', 'percentage_probability': 53.19724678993225, 'box_points': [583, 185, 639, 264]}]"
uuid:3b78d364-9235-4bb5-9daa-6c646881cec5,Feb 4,Viana,Viana Sede,1549283515279.jpg,Left,1549283534499.jpg,Left-front,1549283547355.jpg,Front,1549283560614.jpg,Front-right,1549283585168.jpg,Right,1549283641609.jpg,[],"[{'name': 'person', 'percentage_probability': 86.43370866775513, 'box_points': [129, 301, 166, 404]}]",[],[],[],"[{'name': 'person', 'percentage_probability': 70.00231742858887, 'box_points': [398, 171, 411, 201]}, {'name': 'person', 'percentage_probability': 65.18545150756836, 'box_points': [377, 174, 385, 199]}, {'name': 'person', 'percentage_probability': 50.008201599121094, 'box_points': [345, 180, 354, 201]}, {'name': 'person', 'percentage_probability': 65.91106653213501, 'box_points': [516, 193, 534, 226]}]"
uuid:3cbe1dc7-7848-4d11-9b8f-cf2b1299378f,Feb 12,Viana,Viana Sede,1549970764824.jpg,Left,1549970780185.jpg,Left-front,1549970800349.jpg,Front,1549970816744.jpg,Front-right,1549970836820.jpg,Right,1549970847605.jpg,[],[],[],[],[],[]
uuid:3d3e3329-dab4-4698-b1f4-7844ae337230,Feb 6,Viana,Viana Sede,1549449370445.jpg,Left,1549449387399.jpg,Left-front,1549449400860.jpg,Front,1549449413931.jpg,Front-right,1549449427962.jpg,Right,1549449438543.jpg,"[{'name': 'car', 'percentage_probability': 54.953163862228394, 'box_points': [445, 148, 500, 172]}, {'name': 'person', 'percentage_probability': 79.42918539047241, 'box_points': [455, 161, 470, 209]}, {'name': 'car', 'percentage_probability': 50.41322708129883, 'box_points': [446, 143, 535, 172]}, {'name': 'truck', 'percentage_probability': 62.06507682800293, 'box_points': [446, 142, 538, 172]}]",[],[],[],[],"[{'name': 'car', 'percentage_probability': 63.08772563934326, 'box_points': [297, 196, 324, 218]}]"
uuid:3eba3296-c716-43ee-8174-3089f675feed,Jan 29,Cazenga,Hoji Ya Henda,1548778347840.jpg,Left,1548778358425.jpg,Left-front,1548778368407.jpg,Front,1548778380333.jpg,Front-right,1548778389673.jpg,Right,1548778399163.jpg,[],[],[],"[{'name': 'toilet', 'percentage_probability': 68.87978315353394, 'box_points': [75, 291, 177, 375]}]","[{'name': 'person', 'percentage_probability': 91.80998802185059, 'box_points': [261, 360, 367, 478]}, {'name': 'person', 'percentage_probability': 55.94731569290161, 'box_points': [509, 336, 636, 480]}, {'name': 'teddy bear', 'percentage_probability': 83.79647135734558, 'box_points': [512, 335, 638, 475]}]",[]
uuid:3eec1eb0-55a3-46ce-a7e0-1e3e383e4dc5,Jan 31,Kilamba Kiaxi,Kilamba Kiaxi,1548940628216.jpg,Left,1548940645676.jpg,Left-front,1548940655801.jpg,Front,1548940667489.jpg,Front-right,1548940679794.jpg,Right,1548940692289.jpg,"[{'name': 'person', 'percentage_probability': 59.81106758117676, 'box_points': [84, 224, 101, 284]}, {'name': 'person', 'percentage_probability': 70.57147026062012, 'box_points': [93, 253, 116, 284]}, {'name': 'car', 'percentage_probability': 85.83358526229858, 'box_points': [154, 192, 639, 473]}]",[],[],[],[],"[{'name': 'person', 'percentage_probability': 84.64863300323486, 'box_points': [267, 138, 297, 240]}, {'name': 'person', 'percentage_probability': 87.45046257972717, 'box_points': [297, 167, 321, 231]}, {'name': 'person', 'percentage_probability': 67.30859279632568, 'box_points': [39, 118, 106, 307]}, {'name': 'person', 'percentage_probability': 65.18457531929016, 'box_points': [5, 157, 191, 373]}, {'name': 'person', 'percentage_probability': 77.49059200286865, 'box_points': [64, 162, 211, 332]}, {'name': 'car', 'percentage_probability': 60.215455293655396, 'box_points': [334, 151, 463, 347]}, {'name': 'car', 'percentage_probability': 81.53576850891113, 'box_points': [356, 105, 647, 472]}]"
uuid:3efa49e6-3cdf-462f-a703-089d82ea3b67,Feb 14,Viana,Viana Sede,1550153434809.jpg,Left,1550153449758.jpg,Left-front,1550153470983.jpg,Front,1550153490179.jpg,Front-right,1550153504094.jpg,Right,1550153522891.jpg,[],[],[],[],[],[]
uuid:3f286a9f-d231-4104-8729-d0e5c9ac0bb8,Feb 6,Viana,Viana Sede,1549461340666.jpg,Left,1549461350318.jpg,Left-front,1549461357037.jpg,Front,1549461367964.jpg,Front-right,1549461377079.jpg,Right,1549461384508.jpg,[],[],"[{'name': 'person', 'percentage_probability': 74.04252290725708, 'box_points': [456, 291, 489, 396]}, {'name': 'chair', 'percentage_probability': 68.79633665084839, 'box_points': [320, 296, 379, 384]}]",[],[],[]
uuid:3f61b2dc-d5d1-4d5b-9dc4-af510ed435da,Feb 12,Viana,Viana Sede,1549973252686.jpg,Left,1549973268006.jpg,Left-front,1549973286336.jpg,Front,1549973297689.jpg,Front-right,1549973309279.jpg,Right,1549973317503.jpg,"[{'name': 'person', 'percentage_probability': 81.70688152313232, 'box_points': [371, 161, 386, 218]}]",[],[],[],"[{'name': 'person', 'percentage_probability': 60.22484302520752, 'box_points': [551, 166, 568, 221]}, {'name': 'person', 'percentage_probability': 62.80287504196167, 'box_points': [514, 171, 534, 257]}, {'name': 'person', 'percentage_probability': 98.94334077835083, 'box_points': [210, 325, 307, 478]}, {'name': 'person', 'percentage_probability': 97.33381867408752, 'box_points': [456, 221, 620, 477]}]","[{'name': 'person', 'percentage_probability': 66.38540029525757, 'box_points': [259, 157, 272, 198]}, {'name': 'person', 'percentage_probability': 62.56934404373169, 'box_points': [326, 165, 337, 201]}, {'name': 'person', 'percentage_probability': 53.90076041221619, 'box_points': [365, 163, 380, 203]}, {'name': 'person', 'percentage_probability': 82.7718436717987, 'box_points': [274, 157, 290, 204]}, {'name': 'person', 'percentage_probability': 77.11172699928284, 'box_points': [408, 179, 429, 236]}, {'name': 'person', 'percentage_probability': 97.00570106506348, 'box_points': [94, 153, 135, 250]}, {'name': 'person', 'percentage_probability': 74.84604716300964, 'box_points': [388, 228, 424, 273]}, {'name': 'person', 'percentage_probability': 76.11879110336304, 'box_points': [442, 271, 478, 318]}, {'name': 'person', 'percentage_probability': 93.97997856140137, 'box_points': [560, 228, 639, 479]}, {'name': 'person', 'percentage_probability': 99.36479330062866, 'box_points': [149, 276, 219, 476]}, {'name': 'person', 'percentage_probability': 82.74712562561035, 'box_points': [513, 236, 580, 473]}]"
uuid:3f638de3-37e6-43df-b3b1-ba71d8461f5d,Feb 8,Cacuaco,Kikolo,1549706577333.jpg,Left,1549706601694.jpg,Left-front,1549706613080.jpg,Front,1549706623635.jpg,Front-right,1549706646927.jpg,Right,1549706655449.jpg,[],[],[],[],[],[]
uuid:3f9897d7-e544-47ff-a2dd-5de7858d4632,Jan 29,Sambizanga,Sambizanga,1548763690169.jpg,Left,1548763700568.jpg,Left-front,1548763711685.jpg,Front,1548763726659.jpg,Front-right,1548763740943.jpg,Right,1548763757007.jpg,[],[],[],"[{'name': 'person', 'percentage_probability': 64.47632908821106, 'box_points': [416, 350, 470, 424]}, {'name': 'person', 'percentage_probability': 93.77508163452148, 'box_points': [444, 275, 527, 471]}, {'name': 'person', 'percentage_probability': 80.47746419906616, 'box_points': [529, 314, 620, 445]}]","[{'name': 'person', 'percentage_probability': 51.853615045547485, 'box_points': [233, 225, 274, 343]}, {'name': 'person', 'percentage_probability': 77.05479264259338, 'box_points': [231, 237, 285, 400]}, {'name': 'person', 'percentage_probability': 67.24828481674194, 'box_points': [244, 276, 311, 405]}, {'name': 'person', 'percentage_probability': 92.52861142158508, 'box_points': [60, 338, 264, 475]}]","[{'name': 'person', 'percentage_probability': 90.20189046859741, 'box_points': [113, 321, 192, 476]}]"
uuid:3f9ae897-4258-4485-978a-de85936f38df,Feb 16,Viana,Viana Sede,1550317774772.jpg,Left,1550317783453.jpg,Left-front,1550317790328.jpg,Front,1550317797385.jpg,Front-right,1550317803865.jpg,Right,1550317812351.jpg,[],[],[],[],[],"[{'name': 'bus', 'percentage_probability': 56.260061264038086, 'box_points': [308, 79, 328, 101]}]"
uuid:40022430-f8b6-44c7-b67c-38674b3be0fd,Jan 28,Sambizanga,N'gola Kilwanji,1548699589704.jpg,Left,1548699602146.jpg,Left-front,1548699613896.jpg,Front,1548699628879.jpg,Front-right,1548699639401.jpg,Right,1548699648278.jpg,[],[],[],[],[],[]
uuid:4034d3c4-b327-4580-a796-738563935384,Jan 27,Sambizanga,N'gola Kilwanji,1548580803357.jpg,Left,1548580831543.jpg,Left-front,1548580849641.jpg,Front,1548580865158.jpg,Front-right,1548580876223.jpg,Right,1548580891216.jpg,[],"[{'name': 'bowl', 'percentage_probability': 71.1377739906311, 'box_points': [61, 426, 109, 455]}]",[],[],[],[]
uuid:40445cd8-00c9-4fab-9e98-27bd7a04ac4a,Feb 14,Viana,Viana Sede,1550151964771.jpg,Left,1550151973011.jpg,Left-front,1550151980385.jpg,Front,1550151987495.jpg,Front-right,1550151994800.jpg,Right,1550152002525.jpg,[],[],[],[],[],"[{'name': 'potted plant', 'percentage_probability': 65.43775796890259, 'box_points': [372, 57, 416, 150]}]"
uuid:40708f65-c4be-4890-9d21-a804fa6df2a0,Jan 31,Maianga,Cassequel,1548944626080.jpg,Left,1548944637512.jpg,Left-front,1548944647222.jpg,Front,1548944658154.jpg,Front-right,1548944672101.jpg,Right,1548944693237.jpg,"[{'name': 'person', 'percentage_probability': 92.80972480773926, 'box_points': [238, 228, 268, 333]}, {'name': 'person', 'percentage_probability': 60.97884178161621, 'box_points': [348, 229, 382, 311]}, {'name': 'person', 'percentage_probability': 69.4336473941803, 'box_points': [331, 266, 359, 350]}, {'name': 'person', 'percentage_probability': 56.57379627227783, 'box_points': [335, 249, 372, 351]}]",[],"[{'name': 'airplane', 'percentage_probability': 83.26122760772705, 'box_points': [4, 104, 644, 479]}, {'name': 'car', 'percentage_probability': 60.355204343795776, 'box_points': [5, 105, 639, 476]}]",[],"[{'name': 'car', 'percentage_probability': 99.69542026519775, 'box_points': [451, 246, 635, 348]}]","[{'name': 'car', 'percentage_probability': 79.97623085975647, 'box_points': [193, 210, 259, 259]}, {'name': 'person', 'percentage_probability': 65.95968008041382, 'box_points': [495, 217, 524, 293]}, {'name': 'car', 'percentage_probability': 99.65167045593262, 'box_points': [15, 215, 199, 314]}, {'name': 'car', 'percentage_probability': 88.52807283401489, 'box_points': [150, 208, 574, 478]}]"
uuid:40ac851b-b8b7-4ef4-ab8c-81a5f1d31101,Feb 12,Viana,Viana Sede,1549977364814.jpg,Left,1549977378310.jpg,Left-front,1549977386755.jpg,Front,1549977417330.jpg,Front-right,1549977434085.jpg,Right,1549977453225.jpg,[],[],[],[],[],"[{'name': 'person', 'percentage_probability': 72.81196713447571, 'box_points': [267, 151, 276, 175]}, {'name': 'person', 'percentage_probability': 86.26351356506348, 'box_points': [288, 155, 304, 199]}, {'name': 'person', 'percentage_probability': 71.34480476379395, 'box_points': [131, 199, 148, 257]}, {'name': 'person', 'percentage_probability': 50.311511754989624, 'box_points': [145, 229, 169, 255]}, {'name': 'person', 'percentage_probability': 74.64189529418945, 'box_points': [187, 209, 232, 294]}, {'name': 'person', 'percentage_probability': 58.512139320373535, 'box_points': [456, 295, 550, 360]}]"
uuid:40b49bcb-3df1-4358-8bcd-84d666e7c8dc,Feb 28,Samba,Futungo de Belas,1551361599136.jpg,Left,1551361613173.jpg,Left-front,1551361625618.jpg,Front,1551361636748.jpg,Front-right,1551361665285.jpg,Right,1551361676016.jpg,[],[],"[{'name': 'person', 'percentage_probability': 72.29188680648804, 'box_points': [514, 113, 538, 160]}, {'name': 'person', 'percentage_probability': 74.67334270477295, 'box_points': [308, 91, 330, 175]}, {'name': 'car', 'percentage_probability': 99.13525581359863, 'box_points': [332, 107, 409, 168]}]","[{'name': 'potted plant', 'percentage_probability': 85.91576814651489, 'box_points': [433, 207, 515, 272]}]",[],[]
uuid:40d76334-765d-4fd8-a047-2455a0c26874,Jan 25,Cacuaco,Funda,1548427671592.jpg,Left,1548427690016.jpg,Left-front,1548427704188.jpg,Front,1548427718230.jpg,Front-right,1548427736866.jpg,Right,1548427753359.jpg,"[{'name': 'bottle', 'percentage_probability': 66.2962257862091, 'box_points': [219, 279, 244, 352]}, {'name': 'bowl', 'percentage_probability': 62.66224384307861, 'box_points': [325, 334, 387, 373]}, {'name': 'person', 'percentage_probability': 81.44940137863159, 'box_points': [0, 312, 74, 477]}]",[],"[{'name': 'bottle', 'percentage_probability': 50.92087388038635, 'box_points': [289, 415, 308, 471]}, {'name': 'person', 'percentage_probability': 80.29495477676392, 'box_points': [467, 339, 606, 473]}]",[],[],[]
uuid:40f00aeb-4796-418a-b67b-4373afd18852,Feb 12,Viana,Viana Sede,1549965394065.jpg,Left,1549965409919.jpg,Left-front,1549965426142.jpg,Front,1549965438367.jpg,Front-right,1549965454095.jpg,Right,1549965499751.jpg,[],[],"[{'name': 'car', 'percentage_probability': 60.22578477859497, 'box_points': [400, 117, 420, 132]}]",[],[],[]
