,rgb_mean_cv,rgb_std_cv,objects_mean_cv,objects_std_cv,both_mean_cv,both_std_cv,baseline
total_deprivations_2,0.2387720803833226,0.01894547053662622,0.2624794393191733,0.018606916560026512,0.24302724737180864,0.01323647685376182,0.2252328535139712
Poor_MPI,0.5639133233211757,0.021227195138233682,0.572380748051205,0.014849657306784576,0.5529035257097905,0.02479924893655404,0.5639288738357324
Severely_Poor_MPI,0.8966995637559896,0.001971427099641721,0.8975470213831083,0.0015161267253093415,0.8966995637559896,0.001971427099641721,0.8975444538526672
