,0
0,
1,
2,"{'person': 50.90861916542053, 'motorcycle': 52.97698378562927}"
3,"{'person': 50.90861916542053, 'motorcycle': 52.97698378562927}"
4,{'person': 99.0648627281189}
5,{'potted plant': 66.78766012191772}
6,{'person': 70.13126015663147}
7,
