,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
507,84166,132874,72749,80957,142688,160830,163703,83633,98874,141634,58352,77172,163099,161759,208910,11800,201845,130046,68393,133334,284372,310545,87878,12387,15000.0,0.16699999999999998,-0.68423325,1,Non_Poor,Non_Severely_Poor,0,0,1,0,2
508,6,486,4651,80254,370498,338877,126221,607,31,1527,15546,187590,501081,214209,1558,58,78,2379,30578,279275,611068,301828,3376,218,241000.0,0.0,5.311589700000002,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
509,37998,99059,91470,93154,86201,241258,204065,68395,36828,103790,113252,128227,140198,189804,159155,50346,102694,149663,208782,226871,219527,121862,112129,87272,55000.0,0.27899998,-2.3029439,2,Non_Poor,Non_Severely_Poor,0,1,2,1,1
510,80546,57691,78882,51522,161589,215114,41664,4192,29753,61211,62441,126234,216166,147190,37751,10454,25750,56694,86710,167204,298920,156960,115973,13389,45000.0,0.27899998,-0.8962965,2,Non_Poor,Non_Severely_Poor,0,0,2,0,16
511,3585,26085,33794,205912,279409,103231,9011,30173,633,15769,47005,222963,262307,102314,9337,30872,700,17249,52362,305484,357132,122644,16606,49423,60000.0,0.38999999,-1.4119481000000005,4,Poor,Non_Severely_Poor,0,0,0,0,1
512,33082,45800,86844,154020,153419,114908,263423,70104,36860,57410,102178,124276,273791,217898,57562,51625,137546,179854,217296,338710,205448,22244,64846,62856,400000.0,0.50099999,3.3957603,5,Poor,Poor,0,0,0,0,2
513,49271,76208,91816,93933,120997,160461,89796,8718,59319,117341,86480,43874,123584,184708,68035,7859,155516,181075,87941,116704,133481,111227,46526,89130,32000.0,0.38999999,-2.0401673,4,Poor,Non_Severely_Poor,0,0,0,0,8
514,33169,29847,34762,86108,266879,390415,36613,43807,37512,39582,58115,161383,381469,180199,16236,47104,51023,70357,205356,290758,395525,156088,13936,45757,0.0,0.22299999,-0.35722327,2,Non_Poor,Non_Severely_Poor,0,0,2,0,8
515,39146,90873,106625,122123,86736,100318,71331,74048,48733,91412,96919,121934,95299,105776,53437,77690,73271,137171,142874,165151,168941,124292,35200,74700,80000.0,0.16699999999999998,-0.27023873,1,Non_Poor,Non_Severely_Poor,0,0,0,0,6
516,19045,48177,100203,240464,147345,144267,131880,90219,12475,55447,178085,236948,144918,61872,115796,116059,72407,154230,301555,209232,170261,66967,106260,147888,78000.0,0.22299999,-1.4953786,2,Non_Poor,Non_Severely_Poor,0,0,0,0,11
517,21252,44230,77852,178673,238283,360808,502,0,36898,38645,71671,190759,293080,263528,27019,0,43191,51947,132056,233497,437100,232599,98408,2,40000.0,0.38999999,1.159765,4,Poor,Non_Severely_Poor,0,0,0,0,0
