,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
0,68323,98150,153660,101885,97423,234586,128783,38790,70709,104794,168323,113230,102920,141633,119402,100589,173689,175137,207244,182660,139180,155966,98585,96339,154000.0,0.33399999,-0.012890583999999998,3,Poor,Non_Severely_Poor,0,0,0,1,0
1,42438,41219,77122,130688,202396,213246,64535,149956,62182,42949,120998,162446,187334,158431,129420,57840,109575,162528,349805,149841,147605,149841,32325,127280,8000.0,0.38999999,1.1536205,4,Poor,Non_Severely_Poor,0,1,4,0,12
2,13306,40778,83875,132301,107954,135549,103173,74264,21204,77287,121895,131599,128092,64869,79770,66484,62508,131704,177454,237141,129917,59254,68776,54846,339000.0,0.22299999,-0.3751753,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
3,23553,65240,104711,206638,305048,125466,36897,54047,11521,48665,113294,240434,264116,125770,49870,67930,19969,70064,204935,335767,389160,108352,43023,57530,22000.0,0.22299999,-2.9410605,2,Non_Poor,Non_Severely_Poor,0,0,1,0,11
4,34749,55180,135827,206561,246376,205220,11694,25993,36550,62276,178641,197140,198983,202763,18956,26291,142203,127502,224962,167112,261975,267514,11528,26004,11000.0,0.38999999,-1.4002867,4,Poor,Non_Severely_Poor,0,0,0,0,3
5,37273,80326,102689,111944,100045,193592,234318,61413,55086,120076,123196,89523,135098,253675,75604,69342,115698,213654,133199,257002,258068,80208,53814,117157,60000.0,0.38999999,-0.66309017,4,Poor,Non_Severely_Poor,0,1,0,0,6
6,13322,32347,130061,181072,338703,197491,26011,2593,11778,50319,210119,179985,220002,204315,41588,3494,44637,136397,257450,369444,302012,102143,13645,3072,100000.0,0.0,0.43435112,1,Non_Poor,Non_Severely_Poor,0,0,0,2,0
7,30954,82650,91065,113730,127195,107149,124156,14301,29089,78871,99283,125093,135707,91763,118069,13325,42670,96540,137263,176605,199117,153420,89542,26443,306571.44,0.55699998,-0.91677368,5,Poor,Poor,0,0,0,0,17
8,12097,68590,155537,152329,101773,70673,59970,70231,33802,145355,114907,124259,80698,61417,42205,88557,49267,181583,197158,151125,77566,79744,76237,108920,55000.0,0.27899998,-1.520102,2,Non_Poor,Non_Severely_Poor,0,0,0,0,9
9,16560,20182,44900,112064,131064,236645,97069,32716,23303,75870,58864,93625,153715,200363,74397,11063,52501,140171,138085,245675,167513,150842,13078,13735,55000.0,0.16699999999999998,0.53944194,1,Non_Poor,Non_Severely_Poor,0,3,3,0,0
10,20383,64419,118286,109541,99479,175549,96216,7327,37931,83469,108538,89159,144007,151695,70504,5897,100321,149667,241593,145245,131129,56949,56899,39797,60000.0,0.16699999999999998,-0.9719196,1,Non_Poor,Non_Severely_Poor,0,0,0,0,22
11,58627,73800,85179,84877,135144,217362,185013,81598,78291,120791,93774,144743,203448,184132,27342,69079,233316,311369,168281,191478,123794,18742,48281,133539,30000.0,0.16699999999999998,0.42073464,1,Non_Poor,Non_Severely_Poor,0,0,0,1,3
12,48662,106087,49810,160649,138771,98164,73356,15701,40329,103787,51439,156486,155505,54317,110929,18408,78071,117531,105169,309562,143698,44348,87716,35505,200000.0,0.056000002,4.7812653,1,Non_Poor,Non_Severely_Poor,0,0,7,0,3
13,82869,67809,72810,161283,203305,144157,164630,24737,65837,100041,96500,183690,187376,83639,170058,34459,143962,127981,312453,171794,105434,70176,230206,66794,20000.0,0.38999999,0.3394081,4,Poor,Non_Severely_Poor,0,2,1,0,1
14,1761,26122,77462,232550,318436,123113,89935,52221,1336,25250,83079,267393,315479,83512,64105,81446,3781,44795,175296,368236,366676,101217,19664,149135,70000.0,0.38999999,0.0057338676,4,Poor,Non_Severely_Poor,0,0,3,0,6
15,1939,32893,84784,136941,216743,341538,53161,53601,2765,52850,112697,174264,278753,222507,23597,54167,23120,111489,248157,395979,287127,58186,17823,86919,90500.0,0.38999999,-1.0351306999999998,4,Poor,Non_Severely_Poor,0,0,0,0,2
16,10077,34776,81786,65786,145204,202534,82285,68752,20656,68604,79968,118863,155950,161274,45908,39977,88496,120169,128013,309843,80166,102171,52326,40416,260000.0,0.16699999999999998,1.5358614,1,Non_Poor,Non_Severely_Poor,0,0,7,0,0
17,39328,85160,91999,143546,115459,84058,55606,76044,55825,95022,79622,139222,129646,73565,41086,77212,186877,104119,97110,166788,159331,71082,71892,64401,25000.0,0.22299999,-0.88178396,2,Non_Poor,Non_Severely_Poor,0,0,2,0,2
18,82310,52126,82186,94776,86406,301436,102275,120085,98118,84976,60464,108390,242499,132003,44919,150231,188243,143475,146049,264147,175675,74541,45366,191304,90000.0,0.33399999,1.6328517,3,Poor,Non_Severely_Poor,0,2,0,2,0
19,200673,69803,37672,81733,67074,172931,27716,33598,13065,27720,52935,216012,211191,115122,34843,20312,32567,78362,84375,138493,321665,236927,11090,18121,205000.0,0.33399999,0.83906424,3,Poor,Non_Severely_Poor,0,0,0,0,3
20,12092,121851,126774,162745,174209,115313,141690,66926,13862,121277,159439,188954,144072,64607,114853,114536,66539,192128,298173,262827,149766,26431,140022,92914,45000.0,0.33399999,-0.65709585,3,Poor,Non_Severely_Poor,0,0,1,0,2
21,59728,93579,115809,75067,105657,126326,271533,73901,106439,116954,83126,87263,132018,165689,195743,34368,238199,154900,172370,211619,123151,51199,161853,115509,0.0,0.66899997,-4.0560222,5,Poor,Poor,0,0,0,0,3
22,4625,8199,29526,132281,289536,285370,94209,77854,2841,22742,116833,145142,313469,201293,35191,84089,7729,57109,188055,314145,370197,153038,25862,112665,0.0,0.44599998,-1.374929,5,Poor,Non_Severely_Poor,0,1,1,0,6
23,22456,43883,63242,106166,152498,386993,129139,17223,30019,60578,76399,128496,253506,279402,57727,35473,111088,220125,164930,234592,328136,84275,34310,51344,132000.0,0.112,0.034949627000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
24,92936,121069,65213,63167,205691,205504,90435,77585,100094,115243,63227,138992,217747,142425,84199,59673,164803,139832,118261,226674,285450,150685,49511,93584,20000.0,0.16699999999999998,3.0653365000000004,1,Non_Poor,Non_Severely_Poor,0,0,0,0,8
25,8677,21749,88491,191944,222149,225692,93787,69111,9859,57464,134740,182897,200084,207890,68894,59772,29919,154158,222348,203995,244923,233096,55140,85221,82000.0,0.16699999999999998,-1.0442227,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
26,28503,40318,50320,86861,105837,276561,98189,4611,32760,45779,59202,95066,225759,180610,48751,3273,61961,102064,129720,338450,167441,84332,35100,2532,75000.0,0.16699999999999998,-0.034552176000000004,1,Non_Poor,Non_Severely_Poor,0,0,2,0,0
27,15701,51041,60306,89109,320755,343928,40478,282,8589,56773,62380,113759,412617,228202,38914,366,21619,95610,133507,265141,510177,143343,56454,2949,120000.0,0.33399999,1.7533824,3,Poor,Non_Severely_Poor,0,0,1,0,3
28,11684,63304,141771,150343,216189,205608,60896,71805,8161,71370,155331,159018,253963,156700,31742,85315,20278,129051,226756,267542,324006,115296,24147,121724,55000.0,0.22299999,-2.3487046,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
29,92649,79113,101346,211051,89023,122355,175825,50238,83210,97852,147376,199493,58395,92728,171735,70811,252315,213592,244098,67030,43567,64437,207104,136657,620000.0,0.33399999,7.8902564,3,Poor,Non_Severely_Poor,0,0,5,0,3
30,1570,17446,26724,74028,222079,188818,357113,33822,6930,31019,76254,196518,417589,156336,5044,31910,13921,81532,194403,422462,416412,61338,4820,33912,35000.0,0.50199997,-3.9020364,5,Poor,Poor,0,0,0,0,0
31,82795,40702,46040,67091,171355,207680,56245,19292,75834,50045,55450,147020,147797,137191,71482,6381,115956,80282,146237,178472,241680,85981,63691,9301,200000.0,0.33399999,4.6382965999999985,3,Poor,Non_Severely_Poor,0,0,0,0,0
32,4021,20956,55285,110921,228316,211436,107690,182975,11289,73552,138229,215070,174300,124498,93173,91489,50174,222042,334704,197948,98582,81393,102557,141400,42428.57,0.38999999,-0.56427431,4,Poor,Non_Severely_Poor,0,0,0,0,12
33,63903,78616,87387,169976,142319,231066,111174,37159,34530,75042,137293,179309,150482,217398,74747,52799,79938,143550,203439,293288,339774,48486,63804,56521,94000.0,0.33399999,-0.16912208,3,Poor,Non_Severely_Poor,0,0,0,0,5
34,35519,71881,106257,180792,220773,205018,87799,13561,25733,99063,115397,185896,193144,184287,94230,23850,22342,116216,161717,219647,310256,280784,89125,28713,130000.0,0.38999999,-0.5337584,4,Poor,Non_Severely_Poor,0,0,0,0,1
35,23829,12882,39847,161877,335063,162073,143229,42800,23249,25762,67501,201323,306677,153227,112363,31498,35325,64696,183101,281386,445026,122754,79898,16614,35000.0,0.22299999,-1.9170649,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
36,47780,32945,60868,82950,215290,105931,115390,30046,52764,51394,86161,178052,113368,61646,101184,46631,113549,121412,213390,128145,95928,68880,89961,90335,170000.0,0.16699999999999998,0.99472874,1,Non_Poor,Non_Severely_Poor,0,0,4,0,0
37,8061,24564,55408,146495,220587,318111,106874,41500,7460,36287,84975,183159,321891,223011,19157,45660,20604,76129,190992,447818,379650,29433,17199,66975,105000.0,0.50199997,-2.8830903,5,Poor,Poor,0,0,0,0,1
38,16598,38297,101578,190389,267749,224294,44962,37733,24284,51128,122990,216824,242171,169930,55032,39241,44651,116659,257467,381673,250775,109404,32593,35578,70000.0,0.16699999999999998,-1.2998687,1,Non_Poor,Non_Severely_Poor,0,0,0,0,3
39,32395,37297,48867,106118,113509,299364,278906,5144,44519,55633,72012,145027,279583,299470,24844,512,89323,121980,162060,403374,322812,122322,4435,2494,110000.0,0.22299999,0.73400885,2,Non_Poor,Non_Severely_Poor,0,2,6,0,11
40,8583,32388,46056,60224,122629,177166,240764,3390,23807,53392,56240,99787,261683,163561,32137,593,57102,90672,153104,160070,335930,97987,25889,846,93000.0,0.16699999999999998,0.079482295,1,Non_Poor,Non_Severely_Poor,0,0,0,0,12
41,6289,23152,22200,64010,166061,465533,164124,10231,3820,29312,61296,153409,438403,203758,22345,9257,9569,44599,189220,538253,324555,102167,10871,9566,120000.0,0.22299999,-1.0529692,2,Non_Poor,Non_Severely_Poor,0,0,2,0,1
42,10820,29915,116516,97717,171288,213578,12176,39190,11548,44126,106714,124714,162902,192665,10596,37935,31601,89935,161515,188623,224468,169050,13674,42734,260714.28,0.33399999,1.7592279999999998,3,Poor,Non_Severely_Poor,0,0,0,0,1
43,69453,93231,132421,95016,166947,265934,95197,3401,75385,114110,130310,94432,168760,254882,77419,6302,152135,244753,203193,275836,179523,123491,37221,12648,40000.0,0.38999999,-0.10185561,4,Poor,Non_Severely_Poor,0,1,1,0,14
44,101331,26300,22425,41509,116124,276456,282852,54603,123899,22905,76447,158708,226344,241441,42402,29454,172910,270365,340510,213022,106391,79827,18467,27308,75000.0,0.056000002,1.4120537,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
45,23295,56741,80528,113084,168356,91584,90707,66905,24686,65370,103624,138272,155692,62477,87027,54052,87068,112234,162380,166034,156069,74165,86665,76985,170000.0,0.38999999,0.34974968,4,Poor,Non_Severely_Poor,0,0,0,0,11
46,6356,32046,58699,60449,100277,229611,140591,63171,8364,51542,68989,168334,204041,96349,87140,6441,36179,91995,152781,289326,207578,75884,63083,4774,70000.0,0.22299999,-0.72442043,2,Non_Poor,Non_Severely_Poor,0,1,2,0,5
47,4599,23161,84513,183881,159082,134811,164954,166599,3718,25722,159906,203952,120974,191600,77376,138352,9627,149663,290329,261677,134233,145959,144545,92767,117000.0,0.056000002,-0.68600482,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
48,12469,32997,67568,94856,197854,218124,32555,34777,8174,40267,125163,113695,144431,166173,57971,35326,11129,67803,156769,137186,238540,218097,55769,36307,310000.0,0.33399999,3.9340398,3,Poor,Non_Severely_Poor,0,0,0,0,4
49,57617,39263,67558,104933,114645,282656,190727,64201,68178,96094,73654,101834,238818,242338,79428,21256,230868,178264,292007,102838,96551,215236,85783,27253,272000.0,0.16699999999999998,-0.47630632,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
50,34709,42810,87050,127960,226335,263849,119109,19778,35690,55894,113381,165030,189153,272944,77440,12068,45266,183859,214844,247381,291141,144841,67978,33490,31500.0,0.16699999999999998,2.6988542,1,Non_Poor,Non_Severely_Poor,0,0,0,0,4
51,44914,69327,100781,76888,105364,173632,92420,27874,40195,81665,107061,136219,132656,76706,72058,44640,61042,116844,186728,198129,127913,137718,49868,43358,80000.0,0.38999999,0.5138151,4,Poor,Non_Severely_Poor,0,0,0,0,0
52,66590,87181,84482,82339,75429,371010,66775,87794,70556,90568,71844,67788,249575,255574,27674,88021,87128,97264,93902,311967,139622,262987,147448,88482,35000.0,0.16699999999999998,1.0723003,1,Non_Poor,Non_Severely_Poor,0,1,0,0,1
53,249135,201730,290021,132921,26640,5726,12196,3231,226732,210203,302881,116020,48386,6519,8578,2281,260696,325152,403463,185355,37688,7697,7173,1576,248000.0,0.50099999,2.4415724,5,Poor,Poor,0,0,0,0,0
54,2686,26588,69811,49101,35148,201876,286881,19109,12250,71920,62990,81941,249896,187956,10237,14010,80113,104348,201226,274356,150026,67008,30027,14496,80000.0,0.16699999999999998,1.7915103,1,Non_Poor,Non_Severely_Poor,0,0,1,0,6
55,84,2755,34093,144408,519372,156065,9180,55643,232,12385,132405,229827,383413,98899,7973,56466,18942,184750,290205,380733,237575,42697,13546,60352,87000.0,0.38999999,0.32397446,4,Poor,Non_Severely_Poor,0,0,0,0,2
56,48825,64104,79965,162220,94725,116405,105668,19288,51888,72028,104062,150933,112211,113777,40823,45478,59060,124886,250266,191754,149341,79876,10778,55639,90000.0,0.38999999,-0.5379191,4,Poor,Non_Severely_Poor,0,0,1,0,5
57,35064,87931,78008,94260,121782,298179,141132,65244,45702,86918,86593,99601,223593,182964,134070,62159,100960,161217,180653,236168,285948,131541,54966,77347,60000.0,0.50099999,0.6537661,5,Poor,Poor,0,0,0,1,11
58,40909,59898,107965,136880,83106,87216,158877,16349,43767,78323,150081,108452,75666,137739,86334,10838,139318,229270,175482,131942,113107,23041,84447,24993,63714.285,0.33399999,-0.52215105,3,Poor,Non_Severely_Poor,0,0,0,0,0
59,93422,104885,213700,142079,130186,147458,61699,28171,95260,118370,237480,152300,137183,111928,43836,25243,122139,221260,321242,201870,142233,115158,44603,60295,110000.0,0.38999999,0.18846387,4,Poor,Non_Severely_Poor,0,0,0,0,1
60,112988,135205,86708,62374,105537,238326,144149,36313,102582,137650,83582,128010,112383,172027,153784,31582,190842,230479,169234,154757,171402,163329,79517,69240,266714.28,0.33399999,0.56499583,3,Poor,Non_Severely_Poor,0,0,0,0,0
61,16678,31478,45255,99928,169604,327055,213160,18442,15104,45309,67722,135214,207382,366954,66992,16923,66434,131999,221723,351784,139817,217873,93188,5982,135000.0,0.056000002,-0.2137913,1,Non_Poor,Non_Severely_Poor,0,0,1,0,1
62,9537,50803,58921,72566,115444,459958,79485,74886,14823,63937,84390,96569,256339,309420,63170,32952,41921,135160,192755,308438,164519,294255,70123,21629,20000.0,0.38999999,-0.47967559,4,Poor,Non_Severely_Poor,0,6,1,0,5
63,81166,75972,51350,48695,111507,123258,122135,77117,89610,74510,57271,88808,92951,167342,94640,26068,150454,91297,120433,258551,125705,101510,48381,25269,146000.0,0.38999999,2.9856911,4,Poor,Non_Severely_Poor,0,2,0,0,0
64,24229,69539,72952,75965,233924,341540,59177,44274,11047,56414,73699,106775,426996,186100,15755,44814,57146,106055,230532,346657,187501,204578,55839,40492,50000.0,0.33399999,-0.2788682,3,Poor,Non_Severely_Poor,0,0,0,2,0
65,2113,35041,125740,170822,67448,137547,248304,134585,4592,107596,199062,75286,84009,309965,124499,16591,91279,249439,189165,314079,179610,58846,113896,32486,60000.0,0.61399996,-3.5839176,5,Poor,Poor,0,0,0,0,4
66,11218,55401,87092,139335,204558,152548,25267,15781,4548,59999,92770,165819,251424,71102,8852,36686,5629,85714,173748,313875,220484,43998,8910,69242,37000.0,0.33399999,0.21922036,3,Poor,Non_Severely_Poor,0,0,0,0,0
67,7684,21478,64605,155628,324836,280836,55630,10903,4215,27200,91919,217631,282691,227510,65609,4825,15613,63329,179890,358069,386078,201214,20998,3609,65000.0,0.22299999,-0.96353322,2,Non_Poor,Non_Severely_Poor,0,0,0,0,1
68,18513,73721,85520,154230,190998,249215,135338,14065,16963,65035,86931,151582,379935,164646,48668,7840,37316,83047,127942,311491,534524,121648,4831,8001,54000.0,0.33399999,0.79674006,3,Poor,Non_Severely_Poor,0,0,0,0,2
69,17316,42052,85499,108957,225681,131484,19654,60557,17855,48852,98359,135851,214548,94067,18203,63465,35561,111589,276309,268428,108793,22469,27878,70573,685500.0,0.16699999999999998,4.1085582,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
70,8951,60365,106877,147539,142632,119321,65324,40191,8069,53970,136962,164605,154114,78917,57990,36573,44219,91150,176967,259801,208997,67357,32439,40670,27428.572,0.056000002,-0.90352601,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
71,19254,60287,56868,73336,221344,355994,68682,65835,19893,64176,68315,103964,364841,165737,57450,77224,39403,87781,151940,374585,302610,123688,52338,96455,263000.0,0.16699999999999998,0.80417848,1,Non_Poor,Non_Severely_Poor,0,0,1,3,0
72,25258,46490,104787,124490,105137,415815,69623,30000,32159,67656,125016,106481,176763,272441,101109,39975,95416,158012,198752,332728,142429,150333,114122,37008,79000.0,0.50099999,2.3193362,5,Poor,Poor,0,3,5,0,1
73,9239,28801,132851,206088,204386,184612,137962,17661,32329,84151,194043,202933,102126,199774,75908,30336,140188,261327,265083,175506,185494,122147,61834,17221,130000.0,0.38999999,-0.68676311,4,Poor,Non_Severely_Poor,0,0,0,0,0
74,52839,87294,100517,122961,133520,112776,32122,49171,46378,139546,100010,119810,95015,74863,56269,59309,46276,178905,162087,173906,116403,97949,56888,89186,65000.0,0.22299999,-1.5034244,2,Non_Poor,Non_Severely_Poor,0,0,0,0,2
75,18048,31872,51684,109707,117025,128007,137475,97382,16999,59043,103012,131265,77979,135101,155313,12488,81098,185939,159042,145116,104585,49738,183910,12172,100000.0,0.38999999,-1.242677,4,Poor,Non_Severely_Poor,0,0,0,0,4
76,18702,20880,72731,100374,115008,83774,191254,88477,20384,65663,186320,50511,142549,95316,97300,33157,93119,245653,207981,203371,75540,26608,42044,27284,50000.0,0.16699999999999998,-0.23176974,1,Non_Poor,Non_Severely_Poor,0,0,0,0,2
77,6,1625,36355,143313,483263,156831,29993,70214,30,12240,67450,162617,461379,116352,19554,81978,1032,54970,144462,314448,477148,79985,23517,133238,35000.0,0.38999999,-0.93582255,4,Poor,Non_Severely_Poor,0,1,1,0,8
78,69995,155259,172124,146865,131405,100234,87551,58167,83264,178067,155058,146670,105488,102535,80616,69902,250034,219638,182840,153937,159852,145675,48965,67859,45000.0,0.33399999,3.2694795,3,Poor,Non_Severely_Poor,0,0,0,1,0
79,9895,14598,19138,40638,210765,300332,66118,29716,10430,22368,30988,118551,357967,113708,7615,29573,29248,32553,128501,459776,204444,27718,7610,31750,81142.859,0.27899998,-0.063035585,2,Non_Poor,Non_Severely_Poor,0,0,0,0,2
80,13815,33643,58105,137372,395252,141313,37044,105056,14491,43776,80528,134729,399322,127672,10533,110549,36571,96836,107653,255239,400035,183819,16277,132370,97000.0,0.22299999,-0.53061748,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
81,1592,9690,34518,110454,90177,234235,150211,60323,11700,75169,86043,121428,169955,150610,44482,31813,121044,158625,199278,234290,74895,85889,35708,11871,65000.0,0.16699999999999998,-1.1854851999999998,1,Non_Poor,Non_Severely_Poor,0,0,0,1,5
82,0,3,83,3459,119443,408416,368103,22093,23,530,21707,245672,453502,185111,12965,2090,97,3236,107474,429159,584383,96413,6309,1729,225000.0,0.16699999999999998,4.526947,1,Non_Poor,Non_Severely_Poor,0,0,0,0,0
83,761,16903,58350,174080,232404,283528,117580,37994,3156,33918,73974,216102,321425,206854,45740,20431,37333,131251,281478,398642,251306,92611,18230,17949,0.0,0.50199997,-0.30856246,5,Poor,Poor,0,0,0,0,1
84,22377,55742,95862,235119,254807,166551,33263,57879,30767,75194,106240,233711,259174,135371,19578,61565,54727,128005,205514,314794,306596,112187,19022,87955,74000.0,0.44599998,-0.57658821,5,Poor,Non_Severely_Poor,0,2,1,0,10
85,22136,41295,111536,106212,69023,102253,141746,96999,21684,69350,96612,125660,116951,152454,107974,515,97168,133300,288608,171858,75196,90414,38650,26406,89000.0,0.33399999,-0.65135318,3,Poor,Non_Severely_Poor,0,1,0,0,3
86,8108,51114,64399,67251,195267,300731,4315,15,13609,53107,58784,64411,208722,289886,2665,16,57535,102348,103619,92860,302495,246151,7897,8695,60000.0,0.16699999999999998,-0.6839034,1,Non_Poor,Non_Severely_Poor,0,0,0,0,3
87,28318,42111,83848,88538,242190,321637,92561,22397,20992,73335,93986,141605,251641,148984,161169,29888,92323,131841,142951,251250,279220,105639,155441,70135,83000.0,0.16699999999999998,2.6638417000000003,1,Non_Poor,Non_Severely_Poor,0,0,6,0,4
88,4295,21974,37445,138522,279234,172362,37290,78,4855,24836,55372,129678,281594,187762,7034,69,6132,45120,75201,228161,353097,186146,25995,1748,304000.0,0.33399999,-0.27741104,3,Poor,Non_Severely_Poor,0,0,0,0,0
89,84191,64893,59661,178040,203446,240878,77730,12761,90852,71636,43056,128566,320535,215155,42028,9772,126443,130036,155702,226930,219341,208090,152049,10209,45000.0,0.38999999,-0.67865783,4,Poor,Non_Severely_Poor,0,0,0,0,2
90,55763,32078,39129,82181,187233,122318,157270,15228,11552,35626,60093,150281,193902,154134,69794,15818,54637,75012,185908,190931,227966,97106,73828,16212,72000.0,0.38999999,-3.047801,4,Poor,Non_Severely_Poor,0,0,0,0,1
91,33256,31637,63263,137421,257963,358808,32478,6774,27561,49474,78111,138705,373675,214841,30933,8300,39850,76654,161646,352164,317140,241039,31216,9091,86000.0,0.22299999,4.2915235,2,Non_Poor,Non_Severely_Poor,0,0,3,0,1
92,109,18334,45847,165917,404179,193063,77968,16183,149,25644,79896,211522,386903,170480,38521,8485,2760,64132,164563,334202,445586,153927,14696,48934,110000.0,0.33399999,2.9946408,3,Poor,Non_Severely_Poor,0,0,0,0,1
93,310,10225,40822,174710,294980,254368,99419,46766,15324,72764,76423,184144,305628,140405,60568,66344,32702,113842,203222,320363,278700,152754,48112,79105,46000.0,0.38999999,-1.3012834,4,Poor,Non_Severely_Poor,0,0,0,0,5
94,2112,22782,43841,126094,403440,307113,16021,197,1422,22497,56060,95755,495447,249113,1010,296,416,32448,68214,207417,738744,180427,769,365,137857.14,0.33399999,-1.2937849,3,Poor,Non_Severely_Poor,0,0,0,0,3
95,60244,49426,54584,334526,179672,134252,9416,99480,66136,44786,46512,305524,251227,98300,9012,100103,83997,32643,117034,414502,333557,133272,14240,99555,0.0,0.38999999,0.30128029,4,Poor,Non_Severely_Poor,0,0,0,0,7
96,37244,37727,40154,119518,232590,93035,69153,61779,32384,42989,88374,164370,166892,63200,55489,77502,33379,83916,188204,242459,159749,55012,42349,116532,65000.0,0.391,-3.5605547,5,Poor,Non_Severely_Poor,0,0,0,0,20
97,3642,293826,528351,89280,6155,313,33,0,3256,347647,519306,49048,2227,115,1,0,39898,839098,342287,7337,176,4,0,0,420571.44,0.22299999,2.6293471,2,Non_Poor,Non_Severely_Poor,0,0,0,0,0
98,2184,13550,27614,68130,125938,332125,100510,21149,5880,21276,54304,113908,333266,100343,41126,21097,32506,99403,343215,210365,86155,60349,68496,21111,15000.0,0.38999999,-2.8266767999999995,4,Poor,Non_Severely_Poor,0,0,0,0,2
99,35281,74971,152006,242822,142350,49872,99074,125224,37667,112271,212058,198309,106730,23056,86271,145238,89014,244042,245740,260628,81769,26854,95284,185469,83000.0,0.38999999,-1.4072385,4,Poor,Non_Severely_Poor,0,0,0,0,11
100,373,3939,24143,115073,376864,117198,5371,48239,399,5133,25826,200846,343597,61870,3308,50221,5486,37219,247448,345218,215406,13272,6723,50828,85000.0,0.38999999,0.048216272,4,Poor,Non_Severely_Poor,0,0,0,0,3
101,7759,45452,67524,67918,128882,313866,58943,856,11283,53292,78242,111663,179792,234725,21852,351,20400,155193,129029,122858,258765,203391,25303,6661,91000.0,0.38999999,-0.89599568,4,Poor,Non_Severely_Poor,0,0,2,0,10
102,575,44928,132126,180446,148506,134744,123957,156318,26063,117261,168709,127305,157819,117340,67701,139402,105546,189945,203014,294477,168614,77108,32055,158041,24000.0,0.38999999,-0.13509153,4,Poor,Non_Severely_Poor,0,0,0,0,5
103,529,4744,23753,145366,334544,389523,22942,199,258,4617,28256,239631,385831,236771,25883,353,675,10124,110265,420095,444151,238975,4402,113,52000.0,0.33399999,0.7851826,3,Poor,Non_Severely_Poor,0,0,0,0,0
104,33210,63306,131266,128078,112413,73062,101517,48348,28925,67012,136575,151333,103864,118468,49933,35090,42193,84887,151770,238763,285962,53327,44758,19940,255000.0,0.22299999,1.286327,2,Non_Poor,Non_Severely_Poor,0,1,0,0,1
105,382,12301,65459,110744,128401,248654,122708,2551,109,23447,87656,143309,248849,95861,86363,5606,6413,101024,254409,250228,156493,22994,61645,68394,113000.0,0.50199997,-3.7521908,5,Poor,Poor,0,0,0,0,2
106,13129,33143,45144,120334,324554,289966,95219,111,20832,43436,64440,235148,289499,117963,135708,14574,37903,78639,349669,469182,54257,46760,168220,24170,234285.72,0.50199997,-2.1715674,5,Poor,Poor,0,0,0,0,1
107,27593,44824,65256,80719,141040,379080,98959,84129,31033,58394,94778,140091,329139,109400,43703,115062,81979,176029,583608,143156,25047,13156,109984,95841,110000.0,0.55699998,0.95109171,5,Poor,Poor,0,1,1,0,5
108,19660,63510,99637,111835,203767,243538,126287,53366,42255,96399,77090,160827,220049,188481,74209,62290,99456,162016,190138,234177,298967,46737,94665,102644,40000.0,0.33500001,1.1255698,4,Poor,Non_Severely_Poor,0,0,1,0,6
109,25520,45494,70360,96701,115219,137229,179016,21661,32927,74185,113176,104578,129205,114942,99434,22753,102222,161031,135887,130074,260660,15545,97922,18259,333000.0,0.22299999,0.069018938,2,Non_Poor,Non_Severely_Poor,0,0,1,0,3
110,29783,51572,46119,108937,218503,284726,130811,51149,33050,87382,125822,141605,177369,221338,98537,36497,103286,201616,165507,176727,198060,223686,102226,57692,0.0,0.16699999999999998,2.1219468,1,Non_Poor,Non_Severely_Poor,0,1,4,8,0
111,8450,44107,152264,207894,194860,97856,70948,145221,21280,104465,210196,218084,117943,32593,68457,148582,127468,356863,254308,87936,57638,33306,57279,254002,215000.0,0.22299999,-1.0255741,2,Non_Poor,Non_Severely_Poor,0,0,0,0,4
112,8834,54279,114615,89125,92769,200159,109368,22051,19611,61131,132849,122152,136583,112566,78972,27336,119086,203146,266810,91975,54720,47412,107213,31238,6500.0,0.44599998,-1.1516156000000002,5,Poor,Non_Severely_Poor,0,0,0,0,5
113,51257,37330,39654,53240,58892,169197,228844,52786,54220,54416,39876,84912,153717,272043,31462,554,161531,116847,230903,190471,127691,63109,30675,373,140000.0,0.33399999,0.73084557,3,Poor,Non_Severely_Poor,0,0,0,0,6
114,3945,26377,101011,250744,148735,146149,226022,18617,4317,29843,118868,293281,144350,103538,208286,19117,11854,76328,351429,347107,93965,119478,133840,94799,15000.0,0.38999999,1.00425,4,Poor,Non_Severely_Poor,0,0,0,0,6
115,191,7722,16913,44297,149266,350939,88332,33540,567,20716,63869,194813,245992,94291,49231,21721,19585,94926,241583,307785,105183,87447,41790,23301,95000.0,0.50199997,-3.4027832,5,Poor,Poor,0,0,2,0,3
